[[ 3, 7, 6, 15, 33, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 6, 11, 22, 32, 39 ],'<2, 1>',x^14 + x^11 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x*y + y^2 + 1]
[[ 2, 6, 5, 14, 42, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 6, 5, 14, 42, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 13, 22, 34, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^2 + x*y + x + y^2]
[[ 4, 6, 13, 22, 34, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^2 + x*y + x + y^2]
[[ 4, 6, 13, 14, 24, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^2 + x*y + x + y^2]
[[ 4, 6, 13, 14, 24, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^3 + x*y + x + y^2]
[[ 4, 6, 7, 22, 34, 39 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^3 + x^2 + x*y + x + y^2]
[[ 2, 6, 11, 14, 62, 51 ],'<2, 1>',x^13 + x^11 + x^9 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x*y + y^2 + 1]
[[ 4, 6, 7, 22, 54, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4 + x^2 + x*y + x + y^2]
[[ 4, 6, 7, 22, 54, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4 + x*y + x + y^2]
[[ 4, 6, 7, 14, 44, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^2 + x*y + x + y^2]
[[ 2, 6, 5, 6, 32, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 4, 6, 13, 6, 14, 39 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^3 + x*y + x + y^2]
[[ 2, 6, 11, 6, 32, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^8 + x^6*y + x^5*y + x^5 + x^3 + x*y + y^2 + 1]
[[ 4, 6, 7, 14, 4, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^3 + x^2 + x*y + x + y^2]
[[ 4, 6, 13, 30, 24, 51 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^2 + x*y + x + y^2]
[[ 4, 6, 7, 22, 34, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^3 + x*y + x + y^2]
[[ 2, 6, 5, 22, 32, 63 ],'<2, 1>',x^13 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x*y + y^2 + 1]
[[ 2, 6, 5, 22, 32, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 6, 5, 6, 52, 39 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 13, 22, 54, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4 + x*y + x + y^2]
[[ 2, 6, 5, 30, 42, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x*y + y^2 + 1]
[[ 2, 6, 11, 22, 12, 87 ],'<2, 1>',x^14 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x*y + y^2 + 1]
[[ 2, 6, 11, 22, 12, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4 + x^3 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 13, 22, 34, 111 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x*y + x + y^2]
[[ 2, 6, 5, 22, 32, 111 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^3 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 7, 6, 34, 63 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^2 + x*y + x + y^2]
[[ 2, 6, 11, 14, 22, 99 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 6, 11, 22, 32, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^2 + x*y + y^2 + 1]
[[ 2, 6, 5, 22, 12, 63 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 2, 6, 11, 14, 22, 51 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^3 + x*y + y^2 + 1]
[[ 2, 6, 5, 14, 22, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 4, 6, 13, 14, 44, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4 + x*y + x + y^2]
[[ 4, 6, 13, 6, 34, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4 + x^2 + x*y + x + y^2]
[[ 4, 6, 7, 30, 24, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^3 + x*y + x + y^2]
[[ 4, 6, 7, 14, 44, 99 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x*y + x + y^2]
[[ 2, 6, 11, 30, 42, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^2 + x*y + y^2 + 1]
[[ 4, 8, 10, 24, 39, 68 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x*y + x + y^2]
[[ 4, 4, 16, 8, 19, 40 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x^2 + x*y + x + y^2]
[[ 2, 8, 14, 24, 37, 56 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^4*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 4, 14, 16, 17, 88 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 4, 2, 32, 27, 64 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^4*y + x^3 + x*y + y^2 + 1]
[[ 4, 4, 4, 24, 29, 64 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^2 + x*y + x + y^2]
[[ 4, 8, 4, 16, 9, 56 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^2 + x*y + x + y^2]
[[ 2, 8, 14, 16, 57, 56 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + x*y + y^2 + 1]
[[ 2, 4, 14, 24, 37, 64 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^4*y + x^4 + x*y + y^2 + 1]
[[ 2, 8, 2, 16, 47, 80 ],'<2, 1>',x^14 + x^11 + x^10 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x*y + y^2 + 1]
[[ 4, 4, 10, 32, 19, 76 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x^2 + x*y + x + y^2]
