[[ 3, 7, 6, 15, 23, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^2 + x*y + y^2 + y + 1]
[[ 3, 7, 12, 31, 53, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 3, 7, 6, 31, 23, 88 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^2 + x*y + y^2 + y]
[[ 3, 7, 6, 23, 23, 64 ],'<2, 1>',x^13 + x^11 + x^10 + x^5*y + x*y + y^2 + y + 1]
[[ 3, 5, 9, 13, 33, 41 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^3 + x^2*y + x + y^2]
[[ 3, 5, 15, 29, 43, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 5, 3, 13, 43, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3 + x^2*y + x + y^2 + 1]
[[ 3, 5, 9, 13, 13, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^5*y + x^5 + x^2*y + x + y^2]
[[ 3, 5, 9, 29, 33, 113 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^2*y + x + y^2]
[[ 3, 5, 15, 13, 23, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 5, 15, 13, 23, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^2*y + x + y^2]
[[ 3, 5, 15, 13, 23, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4*y + x^3 + x*y + x + y^2]
[[ 3, 5, 9, 13, 53, 65 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^2*y + x + y^2]
[[ 3, 5, 3, 29, 23, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^2*y + x + y^2]
[[ 3, 5, 3, 13, 43, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^3 + x^2*y + x + y^2 + 1]
[[ 3, 5, 3, 13, 43, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^4*y + x^2 + x*y + x + y^2]
[[ 3, 9, 3, 21, 53, 105 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^6 + x^4*y + x^4 + x^3 + x*y + y^2 + y]
[[ 3, 9, 3, 21, 13, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7 + x^6 + x^4*y + x^4 + x^2 + x*y + y^2 + y]
[[ 3, 9, 3, 21, 13, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 3, 5, 15, 21, 33, 41 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4*y + x^3 + x*y + y^2 + y]
[[ 3, 5, 3, 21, 33, 41 ],'<2, 1>',x^14 + x^13 + x^9 + x^8 + x^7 + x^5 + x^4*y + x^3 + x*y + y^2 + y + 1]
[[ 3, 5, 15, 21, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7 + x^4*y + x^3 + x*y + x + y^2 + y]
[[ 3, 5, 15, 29, 43, 77 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2 + x*y + y^2 + y]
[[ 3, 9, 9, 21, 3, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4*y + x^3 + x*y + x + y^2 + y]
[[ 3, 9, 9, 21, 63, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3 + x*y + y^2 + y + 1]
[[ 3, 9, 3, 29, 23, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^4*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 3, 29, 23, 77 ],'<2, 1>',x^13 + x^9 + x^4*y + x^3 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 21, 23, 45 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^2 + x*y + y^2 + y]
[[ 3, 5, 9, 21, 23, 101 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^5 + x^4*y + x^4 + x^3 + x*y + y^2 + y]
