[[ 1, 7, 1, 19, 31, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + y^2 + y + 1]
[[ 1, 7, 1, 19, 31, 79 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 7, 1, 19, 31, 79 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 5, 7, 5, 27, 55, 55 ],'<2, 1>',x^13 + x^12 + x^11 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^3 + y^2 + y]
[[ 1, 7, 1, 11, 31, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^2 + y^2 + y + 1]
[[ 1, 7, 1, 11, 31, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6*y + x^6 + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 5, 7, 17, 27, 35, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + y^2 + y]
[[ 3, 7, 9, 27, 33, 91 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x + y^2 + y + 1]
[[ 1, 7, 13, 27, 11, 55 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + y^2 + y + 1]
[[ 5, 7, 5, 11, 15, 55 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x + y^2 + y]
[[ 1, 7, 7, 19, 31, 67 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2 + y^2 + y + 1]
[[ 1, 7, 7, 19, 31, 67 ],'<2, 1>',x^14 + x^12 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2 + y^2 + y + 1]
[[ 5, 7, 17, 19, 35, 79 ],'<2, 1>',x^14 + x^12 + x^11 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + y^2 + y]
