[[ 3, 9, 9, 17, 43, 75 ],'<2, 1>',x^13 + x^10 + x^8 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 53, 75 ],'<2, 1>',x^13 + x^11 + x^9 + x^6*y + x^5*y + y^2 + y]
[[ 3, 5, 9, 25, 23, 71 ],'<2, 1>',x^14 + x^10 + x^8 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 5, 15, 25, 43, 47 ],'<2, 1>',x^13 + x^12 + x^7 + x^6*y + x^5*y + y^2 + y]
[[ 3, 9, 15, 25, 53, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^2 + x + y^2 + y]
[[ 3, 9, 3, 25, 13, 51 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^2 + x + y^2 + y + 1]
[[ 3, 9, 9, 25, 43, 111 ],'<2, 1>',x^14 + x^10 + x^8 + x^6*y + x^5*y + y^2 + y]
[[ 3, 5, 9, 17, 43, 59 ],'<2, 1>',x^13 + x^12 + x^8 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 5, 9, 25, 43, 71 ],'<2, 1>',x^14 + x^12 + x^8 + x^6*y + x^5*y + y^2 + y]
[[ 3, 9, 3, 25, 23, 87 ],'<2, 1>',x^14 + x^12 + x^10 + x^6*y + x^5*y + y^2 + y]
[[ 3, 5, 15, 17, 33, 47 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2 + y^2 + y + 1]
[[ 3, 5, 3, 17, 23, 107 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4 + x^2 + x + y^2 + y + 1]
[[ 3, 5, 3, 25, 23, 47 ],'<2, 1>',x^14 + x^12 + x^10 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 9, 3, 17, 23, 75 ],'<2, 1>',x^14 + x^12 + x^7 + x^6*y + x^5*y + y^2 + y]
[[ 3, 9, 15, 17, 43, 51 ],'<2, 1>',x^14 + x^12 + x^11 + x^6*y + x^5*y + y^2 + y + 1]
[[ 3, 9, 15, 17, 13, 87 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4 + x^3 + x^2 + y^2 + y]
[[ 3, 9, 15, 17, 13, 87 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^5*y + x^5 + x^3 + x^2 + y^2 + y]
[[ 1, 9, 7, 25, 31, 99 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^6*y + x^5*y + x^4 + x^3 + y^2 + y + 1]
