[[ 4, 8, 16, 24, 34, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^3*y + x + y^2]
[[ 4, 8, 16, 24, 34, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^2*y + x + y^2]
[[ 4, 8, 16, 24, 34, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5 + x^2 + x*y + x + y^2]
[[ 2, 4, 8, 24, 22, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4 + x^3*y + x + y^2 + 1]
[[ 2, 4, 8, 24, 22, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 2, 8, 8, 16, 42, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^3*y + x^3 + x + y^2 + 1]
[[ 2, 8, 8, 16, 42, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 4, 14, 16, 12, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + 1]
[[ 2, 4, 14, 16, 12, 76 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2*y + x + y^2 + 1]
[[ 4, 8, 10, 32, 44, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4 + x^3*y + x^2 + x + y^2]
[[ 4, 8, 4, 24, 14, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4 + x^3*y + x + y^2]
[[ 4, 8, 4, 24, 14, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 8, 24, 62, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^3*y + x^3 + x + y^2 + 1]
[[ 2, 8, 2, 8, 52, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^3*y + x^2 + x + y^2 + 1]
[[ 4, 4, 10, 24, 24, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3*y + x + y^2]
[[ 4, 4, 10, 24, 24, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 4, 10, 24, 44, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^5 + x^4 + x^3*y + x^3 + x + y^2]
[[ 4, 4, 10, 24, 44, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4 + x*y + x + y^2]
[[ 2, 8, 2, 24, 32, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + 1]
[[ 2, 8, 2, 24, 32, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 8, 2, 24, 32, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^3 + x*y + y^2 + 1]
[[ 2, 8, 14, 24, 12, 92 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + 1]
[[ 4, 4, 16, 16, 54, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^3*y + x^3 + x + y^2]
[[ 4, 4, 4, 16, 54, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4 + x^3*y + x + y^2]
[[ 4, 4, 4, 16, 54, 76 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 8, 8, 16, 22, 44 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4 + x^2*y + x + y^2 + 1]
[[ 4, 4, 10, 24, 24, 28 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2*y + x + y^2]
[[ 4, 8, 16, 32, 24, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2*y + x + y^2]
[[ 2, 8, 14, 16, 22, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 8, 14, 16, 22, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^2 + x*y + y^2 + 1]
[[ 4, 4, 10, 24, 44, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^3 + x^2*y + x + y^2]
[[ 4, 4, 10, 24, 44, 100 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4 + x*y + x + y^2]
[[ 4, 8, 10, 32, 24, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^3 + x^2*y + x + y^2]
