[[ 5, 9, 14, 25, 45, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^4 + x^2*y + x + y^2 + y]
[[ 1, 5, 10, 25, 31, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^4 + x^2*y + x^2 + y^2 + y + 1]
[[ 1, 5, 4, 33, 51, 86 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^2*y + x + y^2 + y + 1]
[[ 5, 5, 8, 17, 35, 62 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6*y + x^6 + x^4 + x^2*y + y^2 + y]
[[ 5, 9, 14, 17, 45, 54 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^4 + x^3 + x^2*y + x + y^2 + y]
[[ 5, 5, 8, 9, 15, 38 ],'<2, 1>',x^13 + x^11 + x^6*y + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 1, 9, 10, 25, 21, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^3 + x^2*y + x^2 + y^2 + y + 1]
[[ 5, 9, 14, 25, 25, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^3 + x^2*y + x + y^2 + y]
[[ 1, 5, 10, 25, 11, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 5, 9, 8, 33, 25, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5 + x^2*y + x + y^2 + y]
[[ 5, 5, 8, 25, 55, 86 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y]
[[ 5, 9, 11, 25, 25, 75 ],'<2, 1>',x^13 + x^8 + x^7 + x^6*y + x^3 + x^2 + x*y + x + y^2 + y]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^13 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 9, 21, 75 ],'<2, 1>',x^14 + x^11 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 35 ],'<2, 1>',x^13 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 35 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 51 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 5, 9, 11, 25, 45, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 5, 9, 11, 25, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 5, 5, 11, 17, 35, 83 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 5, 5, 11, 17, 35, 83 ],'<2, 1>',x^13 + x^8 + x^6*y + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 5, 7, 17, 51, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6*y + x^5 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y + 1]
[[ 1, 9, 7, 25, 21, 75 ],'<2, 1>',x^13 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^4 + x^3*y + x^3 + x + y^2 + y + 1]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^3 + x^2 + x*y + y^2 + y]
[[ 5, 9, 11, 9, 45, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^3*y + x^3 + x + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
