[[ 4, 10, 10, 10, 34, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7*y + x^5 + x^3 + x^2 + x*y + y^2 + y]
[[ 4, 10, 10, 10, 34, 82 ],'<2, 1>',x^12 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 6, 10, 6, 10, 46, 94 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^4 + x*y + y^2 + y]
[[ 6, 10, 18, 18, 36, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 2, 6, 2, 18, 32, 114 ],'<2, 1>',x^13 + x^12 + x^10 + x^7*y + x^7 + x^4 + x^3*y + x^3 + y^2 + y + 1]
[[ 0, 6, 6, 10, 20, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x + y^2 + y + 1]
[[ 0, 6, 0, 26, 50, 66 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 4, 6, 4, 18, 24, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x^3 + y^2 + y]
[[ 4, 10, 10, 26, 34, 94 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^3*y + x^3 + y^2 + y]
[[ 4, 10, 10, 26, 34, 94 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 0, 10, 0, 10, 30, 82 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^6 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 6, 6, 12, 10, 46, 78 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^4 + x^3*y + y^2 + y]
