[[ 2, 10, 8, 26, 12, 94 ],'<2, 1>',x^14 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 2, 10, 8, 26, 22, 70 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y + 1]
[[ 2, 10, 8, 26, 22, 70 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + y^2 + y + 1]
[[ 2, 10, 8, 26, 22, 70 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 4, 6, 4, 26, 14, 66 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y]
[[ 4, 6, 4, 26, 14, 66 ],'<2, 1>',x^11 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^3 + x + y^2 + y]
[[ 4, 6, 4, 26, 14, 66 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2 + y]
[[ 4, 10, 4, 34, 34, 82 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 10, 26, 34, 42 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 10, 26, 34, 42 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 6, 10, 18, 14, 78 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 6, 10, 18, 14, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^4 + x^3 + x*y + x + y^2 + y]
[[ 2, 10, 8, 26, 32, 106 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 6, 10, 6, 26, 36, 82 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^3 + x*y + y^2 + y]
[[ 4, 10, 16, 10, 34, 70 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 16, 10, 34, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + y]
[[ 4, 10, 16, 34, 24, 58 ],'<2, 1>',x^14 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 4, 10, 24, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7*y + x^7 + x^3 + x*y + x + y^2 + y]
[[ 2, 6, 8, 10, 42, 102 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 10, 30, 106 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^7 + x^2 + x*y + x + y^2 + y + 1]
[[ 0, 10, 6, 10, 30, 106 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7*y + x^6 + x^3*y + x^2 + x + y^2 + y + 1]
[[ 0, 6, 6, 10, 40, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7*y + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 2, 10, 2, 34, 42, 58 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 2, 6, 14, 18, 32, 90 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^5 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 6, 10, 6, 26, 36, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 6, 6, 18, 26, 16, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 4, 18, 24, 30 ],'<2, 1>',x^14 + x^13 + x^9 + x^7*y + x^7 + x^5 + x^2 + x*y + y^2 + y]
[[ 4, 6, 4, 18, 24, 30 ],'<2, 1>',x^13 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 6, 10, 12, 26, 26, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 6, 10, 12, 26, 26, 70 ],'<2, 1>',x^11 + x^10 + x^7*y + x^6 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 10, 4, 26, 54, 82 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^2 + x*y + y^2 + y]
[[ 4, 10, 4, 26, 54, 82 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 10, 4, 26, 54, 82 ],'<2, 1>',x^13 + x^9 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x + y^2 + y + 1]
[[ 6, 10, 18, 18, 26, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^4 + x^2 + x*y + x + y^2 + y]
[[ 6, 10, 18, 18, 26, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 10, 8, 26, 32, 82 ],'<2, 1>',x^14 + x^11 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 10, 16, 18, 24, 94 ],'<2, 1>',x^12 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + x + y^2 + y + 1]
[[ 4, 10, 16, 18, 24, 94 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7*y + x^6 + x^2 + x*y + x + y^2 + y]
[[ 4, 10, 16, 18, 24, 94 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 8, 18, 22, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 2, 6, 8, 18, 22, 54 ],'<2, 1>',x^13 + x^12 + x^9 + x^8 + x^7*y + x^4 + x^3 + x^2 + x*y + x + y^2 + y + 1]
[[ 4, 6, 10, 18, 44, 54 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
[[ 4, 6, 10, 18, 44, 54 ],'<2, 1>',x^14 + x^13 + x^11 + x^7*y + x^7 + x^3 + x^2 + x*y + y^2 + y]
[[ 4, 6, 16, 18, 44, 66 ],'<2, 1>',x^13 + x^10 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y]
[[ 4, 10, 4, 10, 14, 70 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 4, 10, 4, 10, 14, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^6 + x^4 + x^3*y + x + y^2 + y]
[[ 2, 6, 8, 26, 22, 126 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^5 + x^4 + x^3 + x^2 + x*y + y^2 + y + 1]
[[ 2, 6, 8, 10, 52, 54 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^3 + x^2 + x*y + x + y^2 + y]
