[[ 1, 5, 10, 9, 51, 38 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + x^2 + y^2 + y + 1]
[[ 3, 5, 6, 25, 13, 62 ],'<2, 1>',x^13 + x^9 + x^8 + x^6*y + x^4*y + y^2 + y + 1]
[[ 1, 5, 10, 25, 31, 86 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^2 + y^2 + y + 1]
[[ 1, 9, 10, 25, 21, 54 ],'<2, 1>',x^13 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^5 + x^4*y + y^2 + y + 1]
[[ 3, 5, 6, 17, 33, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^3 + y^2 + y]
[[ 1, 9, 4, 33, 41, 54 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^4*y + x^4 + y^2 + y + 1]
[[ 1, 9, 4, 25, 21, 54 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^7 + x^6*y + x^4*y + x^2 + y^2 + y + 1]
[[ 1, 9, 4, 17, 41, 102 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^2 + y^2 + y + 1]
[[ 5, 9, 8, 17, 45, 78 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^6*y + x^5 + x^4*y + x^4 + y^2 + y]
[[ 5, 5, 14, 17, 35, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^7 + x^6*y + x^6 + x^4*y + x^2 + y^2 + y]
[[ 5, 9, 8, 17, 45, 54 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + x^2 + y^2 + y]
[[ 5, 9, 14, 17, 45, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + y^2 + y]
[[ 5, 9, 14, 25, 45, 54 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^4*y + x^3 + y^2 + y]
[[ 1, 5, 4, 17, 31, 62 ],'<2, 1>',x^14 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^4*y + x^4 + y^2 + y + 1]
[[ 5, 9, 14, 25, 25, 78 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^4*y + x^4 + x^3 + y^2 + y]
[[ 5, 9, 14, 17, 25, 102 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + y^2 + y]
[[ 5, 5, 8, 17, 15, 62 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^5 + x^4*y + x^3 + y^2 + y]
[[ 1, 9, 4, 25, 41, 78 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^6*y + x^6 + x^4*y + x^4 + y^2 + y + 1]
[[ 5, 5, 8, 17, 55, 86 ],'<2, 1>',x^13 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^4*y + x^4 + y^2 + y]
[[ 5, 9, 8, 9, 25, 102 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y]
[[ 5, 9, 8, 17, 25, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^2 + y^2 + y]
[[ 5, 9, 8, 25, 45, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^6*y + x^4*y + x^4 + x + y^2 + y]
[[ 5, 5, 14, 25, 55, 86 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^3 + y^2 + y]
[[ 1, 5, 4, 17, 31, 86 ],'<2, 1>',x^14 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^4*y + x^2 + y^2 + y + 1]
[[ 3, 5, 12, 17, 33, 86 ],'<2, 1>',x^14 + x^11 + x^7 + x^6*y + x^4*y + y^2 + y]
[[ 3, 5, 12, 9, 33, 86 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^4 + x^2 + y^2 + y + 1]
[[ 3, 5, 6, 17, 53, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x + y^2 + y]
[[ 3, 5, 6, 33, 13, 38 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x + y^2 + y]
[[ 3, 9, 6, 17, 63, 102 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^4*y + x^3 + x + y^2 + y + 1]
[[ 5, 5, 14, 17, 35, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^8 + x^6*y + x^6 + x^4*y + x + y^2 + y]
[[ 1, 5, 4, 33, 51, 86 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x + y^2 + y + 1]
[[ 3, 5, 6, 33, 33, 86 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y + 1]
[[ 3, 9, 12, 25, 43, 78 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4*y + x^4 + x^3 + y^2 + y]
[[ 3, 9, 6, 17, 23, 54 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^3 + x^2 + y^2 + y + 1]
[[ 3, 5, 12, 25, 33, 38 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^4*y + x^4 + x^3 + x^2 + y^2 + y + 1]
[[ 3, 9, 6, 17, 23, 30 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^3 + x + y^2 + y]
[[ 1, 5, 10, 25, 11, 86 ],'<2, 1>',x^13 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5 + x^4*y + y^2 + y + 1]
[[ 1, 9, 10, 25, 21, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^4*y + x^4 + y^2 + y + 1]
[[ 1, 9, 10, 9, 41, 102 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^4*y + x^2 + y^2 + y + 1]
[[ 1, 5, 10, 25, 31, 62 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^7 + x^6*y + x^4*y + x^2 + y^2 + y + 1]
[[ 5, 9, 14, 25, 45, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^4*y + x^3 + y^2 + y]
[[ 5, 5, 14, 33, 15, 86 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^6*y + x^6 + x^4*y + x^3 + y^2 + y]
[[ 1, 9, 4, 17, 21, 78 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + x^2 + y^2 + y + 1]
[[ 5, 9, 14, 33, 25, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^8 + x^7 + x^6*y + x^4*y + x + y^2 + y]
[[ 5, 5, 14, 9, 35, 62 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + x^2 + y^2 + y]
[[ 1, 5, 4, 25, 51, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + y^2 + y + 1]
[[ 1, 9, 10, 33, 41, 78 ],'<2, 1>',x^14 + x^12 + x^10 + x^7 + x^6*y + x^6 + x^4*y + x^4 + y^2 + y + 1]
[[ 1, 9, 4, 17, 21, 54 ],'<2, 1>',x^14 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^4*y + x^3 + y^2 + y + 1]
[[ 1, 5, 10, 17, 11, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y + 1]
[[ 5, 5, 8, 9, 15, 38 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + y^2 + y]
[[ 1, 5, 10, 17, 31, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^6*y + x^4*y + x^4 + x^3 + y^2 + y + 1]
[[ 1, 5, 4, 9, 31, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + y^2 + y + 1]
[[ 5, 9, 8, 25, 45, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^4 + x + y^2 + y]
[[ 5, 9, 14, 17, 45, 54 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^2 + y^2 + y]
[[ 1, 5, 10, 17, 51, 62 ],'<2, 1>',x^14 + x^12 + x^10 + x^8 + x^6*y + x^6 + x^4*y + x^3 + y^2 + y + 1]
[[ 5, 5, 14, 25, 15, 62 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^3 + x^2 + y^2 + y]
[[ 1, 5, 4, 25, 11, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^4*y + x^4 + x^2 + y^2 + y + 1]
[[ 5, 5, 8, 25, 35, 86 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^4 + y^2 + y]
[[ 5, 5, 14, 25, 35, 62 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^4*y + x + y^2 + y]
[[ 5, 5, 8, 25, 35, 62 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^6*y + x^5 + x^4*y + x^3 + y^2 + y]
[[ 5, 5, 8, 25, 55, 86 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x^2 + y^2 + y]
[[ 1, 5, 4, 25, 31, 62 ],'<2, 1>',x^14 + x^12 + x^11 + x^8 + x^6*y + x^6 + x^4*y + x^2 + y^2 + y + 1]
[[ 1, 9, 4, 25, 21, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5 + x^4*y + x + y^2 + y + 1]
