[[ 4, 4, 19, 24, 49, 79 ],'<1, 1>',(x^6 + x^3 + x + 1)*y^3 + (x^5 + x^3 + x)*y^2 + (x^5 + x^3)*y + x^4 + x^3]
[[ 2, 2, 14, 26, 42, 80 ],'<1, 1>',(x^6 + x^5 + x^3 + x^2 + 1)*y^3 + (x^6 + x^4)*y^2 + (x^4 + x^3 + x^2)*y + x^3]
[[ 5, 7, 5, 11, 45, 37 ],'<1, 1>',(x^5 + x)*y^3 + (x^6 + x^4 + x^2)*y^2 + x^5*y + x^3]
[[ 3, 9, 24, 25, 23, 60 ],'<1, 1>',(x^6 + x^5 + x^2 + 1)*y^3 + (x^6 + x^5 + x^4 + x^3 + x^2)*y^2 + (x^4 + x^3 + x^2)*y + x^3]
[[ 3, 7, 15, 11, 28, 61 ],'<1, 1>',(x^6 + x^4 + x + 1)*y^3 + (x^5 + x^4 + x^2 + x)*y^2 + (x^5 + x^3)*y + x^3]
[[ 5, 11, 5, 35, 45, 65 ],'<1, 1>',(x^6 + x^3)*y^3 + (x^6 + x)*y^2 + (x^5 + x^2)*y + x^3]
[[ 6, 6, 18, 18, 36, 66 ],'<1, 1>',(x^5 + x^3 + x^2 + x)*y^3 + (x^6 + x^5 + x^4 + x^2)*y^2 + x^5*y + x^3]
[[ 3, 5, 6, 37, 18, 62 ],'<1, 1>',(x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^6 + x^5 + x^4 + x^3 + x^2 + x)*y^2 + (x^4 + x^3)*y + x^3]
[[ 2, 4, 11, 20, 57, 55 ],'<1, 1>',(x^6 + x^4 + 1)*y^3 + (x^5 + x^3 + x)*y^2 + (x^5 + x^3)*y + x^3]
[[ 1, 7, 10, 11, 46, 94 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^2 + x + 1)*y^3 + (x^6 + x^2)*y^2 + (x^5 + x^3 + x^2)*y + x^3]
[[ 1, 5, 10, 9, 36, 44 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^4 + x^2)*y^2 + (x^4 + x^3 + x^2)*y + x^3]
[[ 5, 11, 14, 23, 20, 98 ],'<1, 1>',(x^2 + x)*y^3 + (x^6 + x^5 + x^4 + x^3 + x)*y^2 + (x^5 + x^3 + x^2)*y + x^3]
[[ 4, 12, 7, 20, 14, 99 ],'<1, 1>',(x^6 + x^5 + x^2 + x)*y^3 + (x^6 + x^5 + x^4 + x^2 + x)*y^2 + x^2*y + x^3]
[[ 5, 5, 17, 29, 20, 47 ],'<1, 1>',(x^6 + x^5 + x + 1)*y^3 + (x^6 + x^5 + x)*y^2 + (x^5 + x^3)*y + x^3]
[[ 4, 6, 10, 26, 39, 84 ],'<1, 1>',(x^6 + x^5 + x^4 + 1)*y^3 + (x^6 + x^4)*y^2 + (x^5 + x^4 + x^3 + x^2)*y + x^3]
[[ 3, 11, 9, 15, 43, 77 ],'<1, 1>',(x^6 + x^5 + x^2 + 1)*y^3 + (x^6 + x^4 + x)*y^2 + x^3*y + x^3]
[[ 3, 5, 3, 33, 33, 83 ],'<1, 1>',(x^6 + x^4 + x^3 + 1)*y^3 + (x^6 + x^5 + x^4 + x^3)*y^2 + (x^5 + x^3)*y + x^4]
[[ 6, 10, 9, 26, 31, 73 ],'<1, 1>',(x^5 + x^2)*y^3 + (x^6 + x^5 + x^4 + x^3 + x)*y^2 + (x^5 + x^4 + x^3 + x^2)*y + x^3]
[[ 5, 7, 5, 11, 20, 61 ],'<1, 1>',(x^3 + x^2)*y^3 + (x^6 + x^5 + x^4 + x^3 + x^2 + x)*y^2 + (x^5 + x^2)*y + x^3]
[[ 4, 8, 19, 24, 39, 71 ],'<1, 1>',(x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^6 + x^4 + x^2)*y^2 + (x^5 + x^3 + x^2)*y + x^3]
[[ 3, 7, 15, 11, 23, 61 ],'<1, 1>',(x^6 + x^5 + x^2 + 1)*y^3 + (x^6 + x)*y^2 + x^3]
[[ 1, 5, 10, 9, 41, 50 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^2 + x + 1)*y^3 + (x^5 + x)*y^2 + x^4*y + x^3]
[[ 3, 5, 6, 37, 18, 44 ],'<1, 1>',(x^6 + x^4 + x^3 + 1)*y^3 + (x^6 + x)*y^2 + x^3]
[[ 5, 7, 11, 43, 20, 85 ],'<1, 1>',(x^6 + x^4 + x^2 + x)*y^3 + (x^6 + x^3)*y^2 + x^4*y + x^4 + x^3]
[[ 2, 4, 11, 32, 67, 55 ],'<1, 1>',(x^6 + x^4 + x^3 + x^2 + 1)*y^3 + (x^6 + x^5 + x^3 + x^2)*y^2 + (x^4 + x^3 + x^2)*y + x^3]
[[ 5, 11, 14, 23, 30, 74 ],'<1, 1>',(x^4 + x^3 + x^2 + x)*y^3 + (x^6 + x^5 + x^4 + x^2 + x)*y^2 + (x^4 + x^2)*y + x^4 + x^3]
[[ 3, 11, 9, 15, 53, 83 ],'<1, 1>',(x^6 + x^5 + x^2 + 1)*y^3 + (x^6 + x^5 + x^4 + x^3 + x^2)*y^2 + x^2*y + x^3]
[[ 2, 4, 11, 20, 47, 67 ],'<1, 1>',(x^6 + x^5 + x^2 + x + 1)*y^3 + (x^5 + x^4 + x^2)*y + x^3]
[[ 3, 13, 9, 33, 23, 61 ],'<1, 1>',(x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^3 + x^2 + x)*y^2 + (x^4 + x^3 + x^2)*y + x^4]
[[ 1, 7, 10, 11, 26, 52 ],'<1, 1>',(x^7 + x^6 + 1)*y^3 + (x^6 + x^5 + x^3 + x^2 + x)*y^2 + (x^5 + x^4)*y + x^3]
[[ 4, 14, 7, 34, 29, 53 ],'<1, 1>',(x^6 + x^3)*y^3 + (x^4 + x^2 + x)*y^2 + (x^5 + x^4 + x^2)*y + x^3]
[[ 6, 6, 18, 18, 36, 72 ],'<1, 1>',(x^5 + x^3 + x^2 + x)*y^3 + (x^6 + x^5 + x^2 + x)*y^2 + x^3*y + x^4]
[[ 2, 6, 8, 26, 32, 42 ],'<1, 1>',(x^6 + x^4 + x^3 + x^2 + 1)*y^3 + (x^6 + x^3 + x)*y^2 + x^3]
[[ 1, 5, 10, 9, 46, 56 ],'<1, 1>',(x^7 + x^6 + x^5 + x^4 + x^3 + x + 1)*y^3 + (x^5 + x^4 + x^2 + x)*y^2 + x^4*y + x^3]
[[ 2, 12, 17, 20, 37, 69 ],'<1, 1>',(x^6 + x^3 + x^2 + x + 1)*y^3 + (x^6 + x^5 + x^4 + x^3 + x)*y^2 + x^5*y + x^4 + x^3]
