[[0], [2, 4], [3, 5], [6, 7]]
[40, 16, 17, 52, 39, 44, 54]
[40, 16, 17, 39, 44, 53, 54]
[40, 16, 49, 17, 50, 39, 51]
[40, 16, 49, 17, 50, 52, 39]
[40, 16, 49, 17, 50, 39, 53]
[40, 16, 49, 17, 50, 39, 54]
[40, 16, 49, 17, 52, 39, 51]
[40, 16, 49, 17, 39, 51, 53]
[40, 16, 49, 17, 39, 51, 54]
[40, 16, 49, 17, 52, 39, 53]
[40, 16, 49, 17, 52, 39, 54]
[40, 16, 49, 17, 39, 53, 54]
[40, 16, 17, 50, 52, 39, 51]
[40, 16, 17, 50, 39, 51, 53]
[40, 16, 17, 50, 39, 51, 54]
[40, 16, 17, 50, 52, 39, 53]
[40, 16, 17, 50, 52, 39, 54]
[40, 16, 17, 50, 39, 53, 54]
[40, 16, 17, 52, 39, 51, 53]
[40, 16, 17, 52, 39, 51, 54]
[40, 16, 17, 39, 51, 53, 54]
[40, 16, 17, 52, 39, 53, 54]
[16, 42, 49, 17, 43, 39, 44]
[16, 42, 17, 43, 50, 39, 44]
[16, 42, 17, 43, 39, 44, 51]
[16, 42, 17, 43, 52, 39, 44]
[16, 42, 17, 43, 39, 44, 53]
[16, 42, 17, 43, 39, 44, 54]
[16, 42, 49, 17, 43, 50, 39]
[16, 42, 49, 17, 43, 39, 51]
[16, 42, 49, 17, 43, 52, 39]
[16, 42, 49, 17, 43, 39, 53]
[16, 42, 49, 17, 43, 39, 54]
[16, 42, 17, 43, 50, 39, 51]
[16, 42, 17, 43, 50, 52, 39]
[16, 42, 17, 43, 50, 39, 53]
[16, 42, 17, 43, 50, 39, 54]
[16, 42, 17, 43, 52, 39, 51]
[16, 42, 17, 43, 39, 51, 53]
[16, 42, 17, 43, 39, 51, 54]
[16, 42, 17, 43, 52, 39, 53]
[16, 42, 17, 43, 52, 39, 54]
[16, 42, 17, 43, 39, 53, 54]
[16, 42, 49, 17, 50, 39, 44]
[16, 42, 49, 17, 39, 44, 51]
[16, 42, 49, 17, 52, 39, 44]
[16, 42, 49, 17, 39, 44, 53]
