[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[6,12,9,32,16,75],[35, 37, 17, 51, 53]]
[[6,10,15,18,36,79],[35, 37, 17, 53, 54]]
[[8,8,17,20,23,53],[35, 17, 38, 39, 53]]
[[4,12,10,36,29,72],[35, 40, 17, 39, 53]]
[[3,9,9,45,28,57],[35, 17, 43, 39, 54]]
[[3,9,12,33,23,90],[35, 17, 52, 39, 44]]
[[7,13,10,25,17,52],[35, 49, 17, 39, 53]]
[[6,10,15,18,36,67],[35, 17, 52, 39, 51]]
[[7,11,13,23,22,65],[35, 17, 52, 39, 53]]
[[7,13,7,25,22,79],[35, 40, 17, 44, 53]]
[[6,12,9,16,46,75],[35, 40, 17, 51, 53]]
[[6,10,15,18,36,67],[35, 17, 43, 44, 54]]
[[6,10,9,26,41,67],[35, 17, 43, 53, 54]]
[[6,12,9,16,46,75],[35, 49, 17, 44, 53]]
[[7,9,10,33,37,36],[35, 49, 17, 51, 53]]
[[8,12,14,12,8,84],[35, 17, 50, 51, 53]]
[[9,11,9,15,34,41],[35, 17, 52, 51, 53]]
[[5,13,8,29,40,52],[37, 17, 38, 39, 54]]
[[7,7,13,31,42,37],[37, 17, 38, 44, 53]]
[[6,10,12,26,31,64],[37, 17, 38, 44, 54]]
[[3,7,9,19,13,49],[37, 17, 38, 51, 54]]
[[6,12,9,20,41,63],[37, 42, 17, 39, 53]]
[[5,5,17,21,40,71],[37, 42, 17, 39, 54]]
[[5,9,17,13,30,93],[37, 17, 43, 39, 54]]
[[5,9,11,21,45,75],[37, 17, 52, 39, 44]]
[[4,12,13,32,19,75],[37, 17, 52, 39, 51]]
[[6,12,12,20,31,60],[40, 37, 17, 44, 54]]
[[8,10,14,14,28,70],[40, 37, 17, 53, 54]]
[[5,9,11,21,45,63],[37, 42, 17, 44, 53]]
[[8,10,14,18,28,46],[37, 42, 17, 51, 53]]
[[7,13,7,33,17,43],[37, 17, 43, 44, 53]]
[[6,12,6,32,31,60],[37, 49, 17, 44, 53]]
[[7,11,13,23,12,77],[37, 49, 17, 44, 54]]
[[5,11,8,31,35,80],[37, 49, 17, 53, 54]]
[[7,7,19,27,12,73],[37, 17, 52, 51, 53]]
[[5,9,11,29,50,63],[40, 17, 38, 39, 54]]
[[8,12,14,12,8,84],[42, 17, 38, 39, 53]]
[[6,10,12,30,31,58],[17, 38, 43, 39, 53]]
[[4,8,25,16,29,89],[49, 17, 38, 39, 54]]
[[4,6,13,34,24,69],[17, 38, 52, 39, 54]]
[[4,12,10,28,34,78],[40, 17, 38, 44, 54]]
[[8,8,17,20,23,53],[40, 17, 38, 53, 54]]
[[8,8,14,20,33,56],[42, 17, 38, 51, 53]]
[[5,9,14,17,35,96],[42, 17, 38, 51, 54]]
[[5,13,14,21,30,76],[17, 38, 43, 44, 53]]
[[8,10,14,18,28,46],[17, 38, 43, 51, 53]]
[[7,11,7,27,27,83],[17, 38, 50, 44, 53]]
[[7,7,16,31,27,58],[17, 38, 52, 44, 54]]
[[7,11,16,11,37,56],[49, 17, 38, 53, 54]]
[[6,8,9,28,46,59],[17, 38, 50, 51, 53]]
[[3,9,15,29,18,111],[17, 38, 52, 53, 54]]
[[5,11,17,11,30,89],[42, 17, 43, 39, 54]]
[[8,8,17,16,28,65],[42, 17, 50, 39, 53]]
[[6,10,9,34,36,49],[42, 17, 52, 39, 51]]
[[5,9,20,17,35,66],[17, 43, 52, 39, 44]]
[[7,7,10,27,42,58],[17, 43, 52, 39, 53]]
[[8,12,11,12,33,63],[17, 39, 44, 51, 54]]
[[7,9,16,25,27,42],[17, 39, 44, 53, 54]]
[[4,8,10,24,44,98],[40, 42, 17, 51, 53]]
[[6,8,15,20,21,95],[40, 42, 17, 53, 54]]
[[7,11,10,23,32,68],[40, 17, 43, 44, 53]]
[[5,9,14,17,45,78],[40, 49, 17, 44, 54]]
[[5,9,8,25,45,72],[40, 49, 17, 51, 53]]
[[8,8,17,16,23,77],[40, 17, 50, 53, 54]]
[[7,9,13,25,32,51],[40, 17, 52, 51, 53]]
[[6,10,15,18,36,67],[42, 17, 43, 44, 54]]
[[3,7,15,27,18,103],[42, 17, 43, 51, 54]]
[[4,8,13,20,29,107],[42, 49, 17, 44, 53]]
[[8,8,17,20,23,53],[42, 17, 50, 51, 53]]
[[6,10,12,26,31,70],[42, 17, 50, 53, 54]]
[[7,9,7,33,37,51],[42, 17, 52, 51, 53]]
