[[2, 4], [3], [5], [6, 7]]
[1, 8, 38, 50, 18, 53]
[1, 8, 38, 50, 18, 54]
[1, 8, 38, 52, 18, 51]
[1, 8, 38, 18, 51, 53]
[1, 8, 38, 18, 51, 54]
[1, 8, 38, 52, 18, 53]
[1, 8, 38, 52, 18, 54]
[1, 8, 38, 18, 53, 54]
[1, 49, 8, 50, 18, 39]
[1, 49, 8, 18, 39, 51]
[1, 49, 8, 52, 18, 39]
[1, 49, 8, 18, 39, 53]
[1, 49, 8, 18, 39, 54]
[1, 8, 50, 18, 39, 51]
[1, 8, 50, 52, 18, 39]
[1, 8, 50, 18, 39, 53]
[1, 8, 50, 18, 39, 54]
[1, 8, 52, 18, 39, 51]
[1, 8, 18, 39, 51, 53]
[1, 8, 18, 39, 51, 54]
[1, 8, 52, 18, 39, 53]
[1, 8, 52, 18, 39, 54]
[1, 8, 18, 39, 53, 54]
[1, 49, 8, 50, 18, 51]
[1, 49, 8, 50, 52, 18]
[1, 49, 8, 50, 18, 53]
[1, 49, 8, 50, 18, 54]
[1, 49, 8, 52, 18, 51]
[1, 49, 8, 18, 51, 53]
[1, 49, 8, 18, 51, 54]
[1, 49, 8, 52, 18, 53]
[1, 49, 8, 52, 18, 54]
[1, 49, 8, 18, 53, 54]
[1, 8, 50, 52, 18, 51]
[1, 8, 50, 18, 51, 53]
[1, 8, 50, 18, 51, 54]
[1, 8, 50, 52, 18, 53]
[1, 8, 50, 52, 18, 54]
[1, 8, 50, 18, 53, 54]
[1, 8, 52, 18, 51, 53]
[1, 8, 52, 18, 51, 54]
[1, 8, 18, 51, 53, 54]
[1, 8, 52, 18, 53, 54]
[1, 34, 37, 8, 38, 39]
[1, 34, 37, 49, 8, 38]
[1, 34, 37, 8, 38, 50]
[1, 34, 37, 8, 38, 51]
[1, 34, 37, 8, 38, 52]
[1, 34, 37, 8, 38, 53]
[1, 34, 37, 8, 38, 54]
[1, 34, 37, 49, 8, 39]
[1, 34, 37, 8, 50, 39]
[1, 34, 37, 8, 39, 51]
[1, 34, 37, 8, 52, 39]
[1, 34, 37, 8, 39, 53]
[1, 34, 37, 8, 39, 54]
[1, 34, 37, 49, 8, 50]
[1, 34, 37, 49, 8, 51]
[1, 34, 37, 49, 8, 52]
[1, 34, 37, 49, 8, 53]
[1, 34, 37, 49, 8, 54]
[1, 34, 37, 8, 50, 51]
[1, 34, 37, 8, 50, 52]
[1, 34, 37, 8, 50, 53]
[1, 34, 37, 8, 50, 54]
[1, 34, 37, 8, 52, 51]
[1, 34, 37, 8, 51, 53]
[1, 34, 37, 8, 51, 54]
[1, 34, 37, 8, 52, 53]
[1, 34, 37, 8, 52, 54]
[1, 34, 37, 8, 53, 54]
[1, 34, 49, 8, 38, 39]
[1, 34, 8, 38, 50, 39]
[1, 34, 8, 38, 39, 51]
[1, 34, 8, 38, 52, 39]
[1, 34, 8, 38, 39, 53]
[1, 34, 8, 38, 39, 54]
[1, 34, 49, 8, 38, 50]
[1, 34, 49, 8, 38, 51]
[1, 34, 49, 8, 38, 52]
[1, 34, 49, 8, 38, 53]
[1, 34, 49, 8, 38, 54]
[1, 34, 8, 38, 50, 51]
[1, 34, 8, 38, 50, 52]
[1, 34, 8, 38, 50, 53]
[1, 34, 8, 38, 50, 54]
[1, 34, 8, 38, 52, 51]
[1, 34, 8, 38, 51, 53]
[1, 34, 8, 38, 51, 54]
[1, 34, 8, 38, 52, 53]
[1, 34, 8, 38, 52, 54]
[1, 34, 8, 38, 53, 54]
[1, 34, 49, 8, 50, 39]
[1, 34, 49, 8, 39, 51]
[1, 34, 49, 8, 52, 39]
[1, 34, 49, 8, 39, 53]
[1, 34, 49, 8, 39, 54]
[1, 34, 8, 50, 39, 51]
[1, 34, 8, 50, 52, 39]
[1, 34, 8, 50, 39, 53]
[1, 34, 8, 50, 39, 54]
[1, 34, 8, 52, 39, 51]
[1, 34, 8, 39, 51, 53]
[1, 34, 8, 39, 51, 54]
[1, 34, 8, 52, 39, 53]
[1, 34, 8, 52, 39, 54]
[1, 34, 8, 39, 53, 54]
[1, 34, 49, 8, 50, 51]
[1, 34, 49, 8, 50, 52]
[1, 34, 49, 8, 50, 53]
[1, 34, 49, 8, 50, 54]
[1, 34, 49, 8, 52, 51]
[1, 34, 49, 8, 51, 53]
[1, 34, 49, 8, 51, 54]
[1, 34, 49, 8, 52, 53]
[1, 34, 49, 8, 52, 54]
[1, 34, 49, 8, 53, 54]
[1, 34, 8, 50, 52, 51]
[1, 34, 8, 50, 51, 53]
[1, 34, 8, 50, 51, 54]
[1, 34, 8, 50, 52, 53]
[1, 34, 8, 50, 52, 54]
[1, 34, 8, 50, 53, 54]
[1, 34, 8, 52, 51, 53]
[1, 34, 8, 52, 51, 54]
[1, 34, 8, 51, 53, 54]
[1, 34, 8, 52, 53, 54]
[1, 37, 49, 8, 38, 39]
[1, 37, 8, 38, 50, 39]
[1, 37, 8, 38, 39, 51]
[1, 37, 8, 38, 52, 39]
[1, 37, 8, 38, 39, 53]
[1, 37, 8, 38, 39, 54]
[1, 37, 49, 8, 38, 50]
[1, 37, 49, 8, 38, 51]
[1, 37, 49, 8, 38, 52]
[1, 37, 49, 8, 38, 53]
[1, 37, 49, 8, 38, 54]
[1, 37, 8, 38, 50, 51]
[1, 37, 8, 38, 50, 52]
[1, 37, 8, 38, 50, 53]
[1, 37, 8, 38, 50, 54]
[1, 37, 8, 38, 52, 51]
[1, 37, 8, 38, 51, 53]
[1, 37, 8, 38, 51, 54]
[1, 37, 8, 38, 52, 53]
[1, 37, 8, 38, 52, 54]
[1, 37, 8, 38, 53, 54]
[1, 37, 49, 8, 50, 39]
[1, 37, 49, 8, 39, 51]
[1, 37, 49, 8, 52, 39]
[1, 37, 49, 8, 39, 53]
[1, 37, 49, 8, 39, 54]
[1, 37, 8, 50, 39, 51]
[1, 37, 8, 50, 52, 39]
[1, 37, 8, 50, 39, 53]
[1, 37, 8, 50, 39, 54]
[1, 37, 8, 52, 39, 51]
[1, 37, 8, 39, 51, 53]
[1, 37, 8, 39, 51, 54]
[1, 37, 8, 52, 39, 53]
[1, 37, 8, 52, 39, 54]
[1, 37, 8, 39, 53, 54]
[1, 37, 49, 8, 50, 51]
[1, 37, 49, 8, 50, 52]
[1, 37, 49, 8, 50, 53]
[1, 37, 49, 8, 50, 54]
[1, 37, 49, 8, 52, 51]
[1, 37, 49, 8, 51, 53]
[1, 37, 49, 8, 51, 54]
[1, 37, 49, 8, 52, 53]
[1, 37, 49, 8, 52, 54]
[1, 37, 49, 8, 53, 54]
[1, 37, 8, 50, 52, 51]
[1, 37, 8, 50, 51, 53]
[1, 37, 8, 50, 51, 54]
[1, 37, 8, 50, 52, 53]
[1, 37, 8, 50, 52, 54]
[1, 37, 8, 50, 53, 54]
[1, 37, 8, 52, 51, 53]
[1, 37, 8, 52, 51, 54]
[1, 37, 8, 51, 53, 54]
[1, 37, 8, 52, 53, 54]
[1, 49, 8, 38, 50, 39]
[1, 49, 8, 38, 39, 51]
[1, 49, 8, 38, 52, 39]
[1, 49, 8, 38, 39, 53]
[1, 49, 8, 38, 39, 54]
[1, 8, 38, 50, 39, 51]
[1, 8, 38, 50, 52, 39]
[1, 8, 38, 50, 39, 53]
[1, 8, 38, 50, 39, 54]
[1, 8, 38, 52, 39, 51]
[1, 8, 38, 39, 51, 53]
[1, 8, 38, 39, 51, 54]
[1, 8, 38, 52, 39, 53]
[1, 8, 38, 52, 39, 54]
[1, 8, 38, 39, 53, 54]
[1, 49, 8, 38, 50, 51]
[1, 49, 8, 38, 50, 52]
[1, 49, 8, 38, 50, 53]
[1, 49, 8, 38, 50, 54]
[1, 49, 8, 38, 52, 51]
[1, 49, 8, 38, 51, 53]
[1, 49, 8, 38, 51, 54]
[1, 49, 8, 38, 52, 53]
[1, 49, 8, 38, 52, 54]
[1, 49, 8, 38, 53, 54]
[1, 8, 38, 50, 52, 51]
[1, 8, 38, 50, 51, 53]
[1, 8, 38, 50, 51, 54]
[1, 8, 38, 50, 52, 53]
[1, 8, 38, 50, 52, 54]
[1, 8, 38, 50, 53, 54]
[1, 8, 38, 52, 51, 53]
[1, 8, 38, 52, 51, 54]
[1, 8, 38, 51, 53, 54]
[1, 8, 38, 52, 53, 54]
[1, 49, 8, 50, 39, 51]
[1, 49, 8, 50, 52, 39]
[1, 49, 8, 50, 39, 53]
[1, 49, 8, 50, 39, 54]
[1, 49, 8, 52, 39, 51]
[1, 49, 8, 39, 51, 53]
[1, 49, 8, 39, 51, 54]
[1, 49, 8, 52, 39, 53]
[1, 49, 8, 52, 39, 54]
[1, 49, 8, 39, 53, 54]
[1, 8, 50, 52, 39, 51]
[1, 8, 50, 39, 51, 53]
[1, 8, 50, 39, 51, 54]
[1, 8, 50, 52, 39, 53]
[1, 8, 50, 52, 39, 54]
[1, 8, 50, 39, 53, 54]
[1, 8, 52, 39, 51, 53]
[1, 8, 52, 39, 51, 54]
[1, 8, 39, 51, 53, 54]
[1, 8, 52, 39, 53, 54]
[1, 49, 8, 50, 52, 51]
[1, 49, 8, 50, 51, 53]
[1, 49, 8, 50, 51, 54]
[1, 49, 8, 50, 52, 53]
[1, 49, 8, 50, 52, 54]
[1, 49, 8, 50, 53, 54]
[1, 49, 8, 52, 51, 53]
[1, 49, 8, 52, 51, 54]
[1, 49, 8, 51, 53, 54]
[1, 49, 8, 52, 53, 54]
[1, 8, 50, 52, 51, 53]
[1, 8, 50, 52, 51, 54]
[1, 8, 50, 51, 53, 54]
[1, 8, 50, 52, 53, 54]
[1, 8, 52, 51, 53, 54]
[1, 10, 13, 16, 17, 9]
[1, 10, 13, 16, 9, 18]
[1, 10, 13, 34, 16, 9]
[1, 10, 13, 16, 37, 9]
[1, 10, 13, 16, 38, 9]
[1, 10, 13, 16, 9, 39]
[1, 10, 13, 16, 49, 9]
[1, 10, 13, 16, 50, 9]
[1, 10, 13, 16, 9, 51]
[1, 10, 13, 16, 52, 9]
[1, 10, 13, 16, 9, 53]
[1, 10, 13, 16, 9, 54]
[1, 10, 13, 17, 9, 18]
[1, 10, 13, 34, 17, 9]
[1, 10, 13, 37, 17, 9]
[1, 10, 13, 17, 38, 9]
[1, 10, 13, 17, 9, 39]
[1, 10, 13, 49, 17, 9]
[1, 10, 13, 17, 50, 9]
[1, 10, 13, 17, 9, 51]
[1, 10, 13, 17, 52, 9]
[1, 10, 13, 17, 9, 53]
[1, 10, 13, 17, 9, 54]
[1, 10, 13, 34, 9, 18]
[1, 10, 13, 37, 9, 18]
[1, 10, 13, 38, 9, 18]
[1, 10, 13, 9, 18, 39]
[1, 10, 13, 49, 9, 18]
[1, 10, 13, 50, 9, 18]
[1, 10, 13, 9, 18, 51]
[1, 10, 13, 52, 9, 18]
[1, 10, 13, 9, 18, 53]
[1, 10, 13, 9, 18, 54]
[1, 10, 13, 34, 37, 9]
[1, 10, 13, 34, 38, 9]
[1, 10, 13, 34, 9, 39]
[1, 10, 13, 34, 49, 9]
[1, 10, 13, 34, 50, 9]
[1, 10, 13, 34, 9, 51]
[1, 10, 13, 34, 52, 9]
[1, 10, 13, 34, 9, 53]
[1, 10, 13, 34, 9, 54]
[1, 10, 13, 37, 38, 9]
[1, 10, 13, 37, 9, 39]
[1, 10, 13, 37, 49, 9]
[1, 10, 13, 37, 50, 9]
[1, 10, 13, 37, 9, 51]
[1, 10, 13, 37, 52, 9]
[1, 10, 13, 37, 9, 53]
[1, 10, 13, 37, 9, 54]
[1, 10, 13, 38, 9, 39]
[1, 10, 13, 49, 38, 9]
[1, 10, 13, 38, 50, 9]
[1, 10, 13, 38, 9, 51]
[1, 10, 13, 38, 52, 9]
[1, 10, 13, 38, 9, 53]
[1, 10, 13, 38, 9, 54]
[1, 10, 13, 49, 9, 39]
[1, 10, 13, 50, 9, 39]
[1, 10, 13, 9, 39, 51]
[1, 10, 13, 52, 9, 39]
[1, 10, 13, 9, 39, 53]
[1, 10, 13, 9, 39, 54]
[1, 10, 13, 49, 50, 9]
[1, 10, 13, 49, 9, 51]
