[[0, 1, 4, 7], [2, 4], [3, 5], [6, 7]]
[[2,6,2,34,42,72],[35, 16, 38, 52, 44]]
[[3,7,15,19,23,109],[35, 16, 38, 44, 53]]
[[4,6,13,30,29,75],[35, 16, 49, 38, 53]]
[[3,7,9,23,28,97],[35, 16, 38, 52, 54]]
[[4,10,22,18,9,112],[35, 16, 38, 53, 54]]
[[3,5,3,17,28,77],[35, 40, 16, 39, 53]]
[[3,7,9,31,33,91],[35, 16, 42, 39, 53]]
[[3,13,12,21,28,82],[35, 16, 43, 39, 53]]
[[2,2,8,18,32,92],[35, 16, 52, 39, 44]]
[[3,3,12,3,28,90],[35, 16, 39, 44, 53]]
[[4,6,4,26,44,96],[35, 16, 52, 39, 53]]
[[4,10,13,34,29,73],[35, 16, 39, 53, 54]]
[[3,9,21,29,13,87],[35, 40, 16, 52, 44]]
[[4,10,13,34,24,85],[35, 40, 16, 44, 53]]
[[3,7,24,27,23,88],[35, 40, 16, 49, 53]]
[[3,5,12,17,53,74],[35, 40, 16, 50, 53]]
[[2,2,14,10,27,104],[35, 40, 16, 50, 54]]
[[3,5,12,29,28,86],[35, 40, 16, 51, 53]]
[[3,5,9,13,43,89],[35, 40, 16, 53, 54]]
[[4,10,22,26,19,70],[35, 16, 42, 44, 53]]
[[2,4,8,28,27,94],[35, 16, 42, 50, 54]]
[[3,5,9,9,23,77],[35, 16, 42, 51, 53]]
[[3,5,12,17,53,86],[35, 16, 42, 52, 53]]
[[3,5,6,17,53,74],[35, 16, 42, 53, 54]]
[[3,7,18,23,23,88],[35, 16, 43, 52, 44]]
[[4,12,10,40,24,48],[35, 16, 43, 44, 53]]
[[3,3,9,7,28,81],[35, 16, 49, 43, 53]]
[[2,4,26,28,27,100],[35, 16, 43, 50, 54]]
[[3,7,15,35,28,73],[35, 16, 43, 51, 53]]
[[2,4,5,28,27,85],[35, 16, 43, 52, 54]]
[[3,7,15,19,38,49],[35, 16, 43, 53, 54]]
[[3,5,15,21,38,65],[35, 16, 49, 44, 53]]
[[2,12,11,36,37,69],[35, 16, 50, 52, 44]]
[[3,9,15,17,18,81],[35, 16, 50, 44, 53]]
[[2,4,17,20,32,109],[35, 16, 50, 44, 54]]
[[3,9,18,29,18,96],[35, 16, 44, 51, 53]]
[[3,5,3,25,23,95],[35, 16, 52, 44, 53]]
[[2,4,20,28,32,106],[35, 16, 52, 44, 54]]
[[3,5,18,25,33,92],[35, 16, 44, 53, 54]]
[[4,6,13,26,39,105],[35, 16, 49, 50, 53]]
[[3,7,12,19,33,124],[35, 16, 49, 50, 54]]
[[4,10,13,34,29,67],[35, 16, 49, 51, 53]]
[[4,4,10,16,39,88],[35, 16, 49, 52, 53]]
[[4,8,13,24,34,101],[35, 16, 49, 53, 54]]
[[3,7,12,23,48,100],[35, 16, 50, 51, 54]]
[[4,4,4,12,39,88],[35, 16, 50, 53, 54]]
[[4,4,16,8,44,100],[35, 16, 52, 51, 53]]
[[4,8,16,28,24,74],[35, 16, 51, 53, 54]]
[[2,6,8,14,32,114],[35, 16, 52, 53, 54]]
[[3,5,15,25,28,83],[16, 37, 38, 39, 53]]
[[4,6,13,22,39,81],[16, 37, 42, 38, 53]]
[[3,5,30,21,38,68],[16, 37, 38, 52, 44]]
[[4,6,16,22,49,78],[16, 37, 38, 44, 53]]
[[3,7,21,15,13,85],[16, 37, 49, 38, 53]]
[[3,5,9,21,53,59],[16, 37, 38, 50, 53]]
[[2,6,5,38,37,81],[16, 37, 38, 50, 54]]
[[3,7,6,15,33,94],[16, 37, 38, 51, 53]]
[[3,7,18,19,33,112],[16, 37, 38, 52, 53]]
[[2,8,20,24,17,74],[16, 37, 38, 52, 54]]
[[3,11,9,23,28,89],[16, 37, 38, 53, 54]]
[[4,10,10,26,44,88],[16, 37, 42, 39, 53]]
[[4,8,16,28,34,86],[16, 37, 43, 39, 53]]
[[3,7,9,15,43,103],[16, 37, 52, 39, 44]]
[[4,8,13,28,44,101],[16, 37, 39, 44, 53]]
[[3,9,12,17,33,96],[16, 37, 49, 39, 53]]
[[3,9,15,13,43,69],[16, 37, 50, 39, 53]]
[[2,6,23,26,12,75],[16, 37, 50, 39, 54]]
[[3,9,15,37,23,81],[16, 37, 39, 51, 53]]
[[3,5,9,21,33,83],[16, 37, 52, 39, 53]]
[[2,6,17,34,37,93],[16, 37, 52, 39, 54]]
[[3,9,18,37,28,72],[16, 37, 39, 53, 54]]
[[3,9,18,21,38,72],[40, 16, 37, 42, 53]]
[[3,5,18,17,38,116],[40, 16, 37, 43, 53]]
[[2,4,14,16,22,100],[40, 16, 37, 52, 44]]
[[4,8,25,16,29,83],[40, 16, 37, 49, 53]]
[[4,6,10,30,39,108],[40, 16, 37, 50, 53]]
[[3,7,9,19,23,127],[40, 16, 37, 50, 54]]
[[4,6,16,26,29,78],[40, 16, 37, 51, 53]]
[[4,10,16,10,29,88],[40, 16, 37, 52, 53]]
[[4,10,22,26,19,70],[40, 16, 37, 53, 54]]
[[3,9,6,17,33,84],[16, 37, 42, 43, 53]]
[[2,6,14,26,17,138],[16, 37, 42, 52, 44]]
[[3,3,9,11,33,69],[16, 37, 42, 44, 53]]
[[4,6,4,18,54,66],[16, 37, 42, 50, 53]]
[[3,7,6,15,63,88],[16, 37, 42, 50, 54]]
[[4,8,19,24,24,95],[16, 37, 42, 51, 53]]
[[4,10,13,22,49,91],[16, 37, 43, 50, 53]]
[[3,7,15,23,28,139],[16, 37, 43, 50, 54]]
[[4,10,13,42,19,49],[16, 37, 43, 51, 53]]
[[3,5,18,17,33,110],[16, 37, 50, 52, 44]]
[[3,13,15,25,33,67],[16, 37, 50, 44, 54]]
[[3,11,12,27,23,86],[16, 37, 52, 44, 51]]
[[4,10,10,22,34,100],[16, 37, 44, 51, 53]]
[[3,5,21,13,18,89],[16, 37, 49, 50, 53]]
[[2,2,23,18,32,101],[16, 37, 49, 50, 54]]
[[3,5,18,13,43,116],[16, 37, 49, 51, 53]]
[[3,7,12,23,28,100],[16, 37, 49, 52, 53]]
[[3,3,12,7,28,54],[16, 37, 49, 53, 54]]
[[3,7,15,31,33,79],[16, 37, 50, 51, 53]]
[[2,6,5,14,22,99],[16, 37, 50, 51, 54]]
[[3,7,21,23,28,103],[16, 37, 50, 53, 54]]
[[3,3,12,3,38,102],[16, 37, 52, 51, 53]]
[[3,3,6,19,38,60],[16, 37, 51, 53, 54]]
[[1,9,10,25,26,90],[16, 37, 52, 53, 54]]
[[4,8,19,24,24,95],[40, 16, 38, 39, 53]]
[[4,6,16,26,29,78],[16, 42, 38, 39, 53]]
[[4,8,10,32,14,68],[16, 38, 43, 39, 53]]
[[3,11,9,27,43,107],[16, 38, 52, 39, 44]]
[[3,7,15,19,18,97],[16, 49, 38, 39, 53]]
[[2,8,8,36,32,68],[16, 38, 50, 39, 54]]
[[3,9,18,21,38,72],[16, 38, 39, 51, 53]]
[[3,7,12,35,28,64],[16, 38, 52, 39, 53]]
