[[ 1, 7, 13, 15, 41, 55 ],'<2, 1>',x^13 + x^10 + x^9 + x^8*y + x^7 + x^6*y^2 + x^6*y + x^5*y^2 + x^4*y + x^3*y^2 + x^3 + x^2*y + x^2 + y^4 + y^2]
[[ 1, 7, 13, 15, 41, 55 ],'<2, 1>',x^21 + x^19 + x^18 + x^16 + x^14*y + x^13 + x^11 + x^10*y^2 + x^9*y^2 + x^8 + x^7*y^2 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^3*y^2 + y^4]
[[ 1, 7, 13, 31, 1, 79 ],'<4, 2>',x^21 + x^18 + x^17 + x^15 + x^14*y + x^12*y + x^10*y^2 + x^9*y^2 + x^9 + x^8 + x^7*y^2 + x^7 + x^6*y + x^6 + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 7, 13, 31, 1, 79 ],'<4, 2>',x^20 + x^18 + x^17 + x^16 + x^13*y + x^12*y + x^12 + x^11*y + x^11 + x^10*y^2 + x^10*y + x^10 + x^9 + x^6*y^2 + x^5*y + x^4*y^2 + x^4*y + x^3*y + x^3 + x^2*y + y^4 + y^2 + 1]
[[ 1, 7, 13, 31, 81, 79 ],'<4, 2>',x^21 + x^19 + x^18 + x^17 + x^16 + x^14*y + x^14 + x^11 + x^10*y^2 + x^10*y + x^10 + x^9*y^2 + x^8 + x^7*y^2 + x^6*y^2 + x^6 + y^4]
[[ 1, 7, 13, 31, 21, 79 ],'<2, 1>',x^21 + x^20 + x^18 + x^17 + x^14*y + x^13 + x^12 + x^10*y^2 + x^9*y^2 + x^9 + x^7*y^2 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^3*y^2 + y^4]
[[ 1, 7, 13, 31, 61, 79 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8*y + x^7 + x^6*y^2 + x^6*y + x^5*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y + y^4 + y^2]
[[ 1, 7, 1, 47, 61, 55 ],'<4, 2>',x^21 + x^18 + x^17 + x^16 + x^15 + x^14*y + x^14 + x^12*y + x^10*y^2 + x^9*y^2 + x^9 + x^7*y^2 + x^7 + x^6*y + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 7, 25, 47, 21, 55 ],'<4, 2>',x^21 + x^19 + x^18 + x^15 + x^14*y + x^14 + x^13 + x^10*y^2 + x^10*y + x^10 + x^9*y^2 + x^7*y^2 + x^6*y^2 + x^6 + y^4]
[[ 1, 3, 7, 31, 71, 87 ],'<2, 1>',x^21 + x^20 + x^19 + x^15 + x^14*y + x^13*y + x^12 + x^11*y + x^10*y^2 + x^10 + x^9*y^2 + x^9*y + x^9 + x^8*y^2 + x^7*y^2 + x^7*y + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^4*y^2 + x^3*y^2 + y^4]
[[ 1, 3, 19, 31, 11, 87 ],'<2, 1>',x^13 + x^10 + x^8*y + x^8 + x^7*y + x^7 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^4*y^2 + x^3*y^2 + y^4]
[[ 1, 3, 19, 31, 31, 87 ],'<2, 1>',x^21 + x^18 + x^15 + x^14*y + x^13*y + x^12 + x^11*y + x^10*y^2 + x^10*y + x^9*y^2 + x^9*y + x^9 + x^8*y^2 + x^8 + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^6 + x^4*y^2 + y^4]
[[ 1, 3, 19, 31, 31, 87 ],'<2, 1>',x^21 + x^18 + x^16 + x^14*y + x^14 + x^13 + x^12 + x^11 + x^10*y^2 + x^10*y + x^10 + x^9*y^2 + x^9 + x^8*y + x^8 + x^7 + x^6*y^2 + x^6 + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 3, 7, 31, 51, 87 ],'<2, 1>',x^21 + x^18 + x^16 + x^15 + x^14*y + x^13*y + x^11*y + x^11 + x^10*y^2 + x^9*y^2 + x^9*y + x^9 + x^8*y^2 + x^8 + x^7*y^2 + x^7*y + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^4*y^2 + x^3*y^2 + y^4]
[[ 1, 3, 7, 31, 51, 87 ],'<2, 1>',x^21 + x^20 + x^19 + x^17 + x^16 + x^15 + x^14*y + x^14 + x^13*y + x^12 + x^11*y + x^11 + x^10*y^2 + x^10*y + x^9*y^2 + x^9*y + x^8*y^2 + x^8 + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^6 + x^4*y^2 + y^4]
