[[1, 7], [2, 4], [3, 5], [6, 7]]
[[4,6,13,30,24,81],[0, 5, 35, 53, 54]]
[[5,13,8,25,30,70],[0, 5, 40, 37, 53]]
[[5,13,5,41,25,49],[0, 5, 37, 50, 54]]
[[4,6,4,26,54,84],[0, 5, 38, 50, 54]]
[[4,10,10,22,24,94],[0, 5, 38, 52, 54]]
[[4,8,13,20,29,95],[0, 5, 40, 43, 53]]
[[4,6,13,34,39,69],[0, 5, 40, 49, 53]]
[[4,10,22,22,14,94],[0, 5, 42, 52, 44]]
[[3,3,12,39,43,72],[0, 5, 42, 50, 54]]
[[3,7,24,19,18,94],[0, 5, 43, 44, 53]]
[[2,4,2,32,22,76],[0, 5, 43, 52, 54]]
[[3,5,9,37,28,53],[0, 5, 49, 44, 53]]
[[2,6,17,26,7,111],[0, 5, 50, 44, 53]]
[[4,10,13,22,39,73],[0, 5, 44, 51, 53]]
[[2,10,5,18,42,103],[0, 5, 52, 44, 53]]
[[4,4,10,20,34,76],[0, 5, 49, 50, 54]]
[[4,8,13,40,24,65],[0, 5, 49, 53, 54]]
[[3,3,6,31,23,84],[0, 5, 50, 52, 54]]
[[3,3,18,19,38,96],[0, 5, 50, 53, 54]]
[[3,7,12,23,38,52],[0, 5, 52, 51, 54]]
[[3,7,9,23,33,73],[0, 34, 7, 8, 53]]
[[4,10,4,30,39,94],[0, 35, 7, 8, 53]]
[[3,7,6,31,23,70],[0, 7, 37, 8, 53]]
[[4,10,16,26,44,58],[0, 7, 8, 38, 53]]
[[3,7,9,23,33,127],[0, 7, 42, 8, 53]]
[[4,8,13,28,39,65],[0, 7, 8, 43, 53]]
[[2,16,5,24,42,43],[0, 7, 49, 8, 53]]
[[3,9,12,37,33,66],[0, 7, 8, 50, 53]]
[[3,9,12,41,33,48],[0, 7, 8, 52, 53]]
[[2,8,11,28,27,95],[0, 7, 52, 9, 44]]
[[4,10,13,22,24,97],[0, 7, 9, 44, 53]]
[[3,13,6,29,38,58],[0, 7, 9, 53, 54]]
[[5,7,14,27,20,76],[0, 34, 35, 7, 53]]
[[4,10,13,26,29,85],[0, 34, 7, 37, 53]]
[[5,7,11,15,45,91],[0, 34, 7, 43, 53]]
[[5,9,11,21,40,51],[0, 34, 7, 49, 53]]
[[4,10,10,14,39,70],[0, 34, 7, 52, 53]]
[[5,7,11,27,50,55],[0, 35, 7, 37, 53]]
[[4,6,7,18,69,99],[0, 35, 7, 38, 53]]
[[4,8,13,28,39,65],[0, 35, 7, 39, 53]]
[[5,7,11,23,55,79],[0, 35, 7, 42, 53]]
[[6,12,12,24,16,90],[0, 35, 7, 49, 53]]
[[5,5,11,21,55,95],[0, 35, 7, 52, 53]]
[[6,10,12,18,41,76],[0, 7, 37, 42, 53]]
[[5,7,5,23,45,55],[0, 7, 37, 43, 53]]
[[4,4,13,12,34,85],[0, 7, 37, 52, 53]]
[[5,11,11,23,45,47],[0, 7, 42, 38, 53]]
[[6,10,15,22,31,67],[0, 7, 38, 43, 53]]
[[4,10,4,30,39,94],[0, 7, 43, 39, 53]]
[[4,12,10,32,24,72],[0, 7, 49, 39, 53]]
[[3,7,12,19,28,118],[0, 7, 52, 39, 53]]
[[3,7,9,31,23,67],[0, 40, 7, 52, 44]]
[[3,13,9,25,38,73],[0, 40, 7, 44, 53]]
[[4,16,10,20,29,76],[0, 40, 7, 53, 54]]
[[5,5,11,21,35,77],[0, 7, 42, 49, 53]]
[[4,4,10,16,14,64],[0, 7, 42, 50, 53]]
[[4,10,7,22,19,103],[0, 7, 49, 43, 53]]
[[5,9,17,21,35,81],[0, 7, 43, 50, 53]]
[[3,7,9,23,38,73],[0, 7, 49, 52, 53]]
[[2,10,8,38,42,70],[0, 7, 52, 51, 53]]
[[2,6,11,22,7,99],[0, 8, 52, 9, 44]]
[[4,10,10,26,39,82],[0, 8, 9, 44, 53]]
[[1,11,4,31,46,62],[0, 8, 50, 9, 54]]
[[3,9,6,13,18,66],[0, 8, 9, 53, 54]]
[[5,5,11,21,35,77],[0, 34, 35, 8, 53]]
[[4,10,7,18,29,61],[0, 34, 37, 8, 53]]
[[6,12,12,24,16,90],[0, 34, 42, 8, 53]]
[[5,7,11,23,55,79],[0, 34, 49, 8, 53]]
[[4,10,16,26,44,58],[0, 34, 8, 51, 53]]
[[4,8,16,16,24,104],[0, 34, 8, 52, 53]]
[[5,9,11,25,55,63],[0, 35, 37, 8, 53]]
[[4,4,10,16,34,52],[0, 35, 8, 38, 53]]
[[5,9,11,21,40,51],[0, 35, 42, 8, 53]]
[[5,11,8,19,40,86],[0, 35, 8, 50, 53]]
[[3,7,6,23,33,52],[0, 37, 8, 39, 53]]
[[6,14,9,18,31,83],[0, 37, 42, 8, 53]]
[[5,11,8,15,55,56],[0, 37, 8, 43, 53]]
[[2,10,11,30,22,79],[0, 8, 38, 39, 53]]
[[5,11,11,19,40,71],[0, 42, 8, 38, 53]]
[[6,10,9,38,36,43],[0, 8, 38, 43, 53]]
[[3,7,9,23,33,73],[0, 8, 38, 51, 53]]
[[5,7,17,19,35,79],[0, 42, 8, 39, 53]]
[[4,12,16,24,24,72],[0, 8, 43, 39, 53]]
[[5,11,8,11,55,56],[0, 8, 39, 51, 53]]
[[3,13,6,21,38,70],[0, 40, 8, 52, 44]]
[[4,12,16,24,29,72],[0, 40, 8, 50, 54]]
[[4,12,10,32,34,72],[0, 40, 8, 53, 54]]
[[5,7,14,27,20,76],[0, 42, 49, 8, 53]]
[[4,8,10,28,39,98],[0, 42, 8, 50, 53]]
[[4,10,4,38,24,64],[0, 42, 8, 52, 53]]
[[4,8,16,20,24,116],[0, 49, 8, 43, 53]]
[[5,13,11,25,25,67],[0, 8, 43, 50, 53]]
