[[2, 7], [3, 5], [4, 7], [6, 7]]
[[6,8,15,20,31,83],[0, 1, 10, 5, 14, 7, 16, 42, 8, 43, 9, 51, 53, 54]]
[[5,9,8,13,35,48],[0, 1, 10, 5, 14, 7, 16, 42, 49, 8, 9, 44, 51, 53]]
[[6,10,9,22,51,43],[0, 1, 10, 5, 14, 7, 16, 8, 43, 50, 9, 44, 51, 53]]
[[5,9,5,33,35,75],[0, 1, 10, 5, 14, 7, 16, 8, 43, 50, 9, 44, 53, 54]]
[[6,14,12,18,21,68],[0, 1, 10, 5, 14, 7, 16, 49, 8, 43, 50, 52, 9, 53]]
[[4,8,13,24,24,89],[0, 1, 10, 5, 14, 7, 16, 8, 43, 50, 9, 51, 53, 54]]
[[4,10,7,22,29,67],[0, 1, 10, 5, 14, 7, 16, 49, 8, 50, 9, 44, 53, 54]]
[[3,13,3,21,23,73],[0, 1, 10, 5, 14, 7, 16, 8, 50, 52, 9, 44, 53, 54]]
[[7,11,13,19,27,59],[0, 1, 10, 5, 14, 7, 16, 49, 8, 50, 9, 51, 53, 54]]
[[4,10,16,26,29,76],[0, 1, 10, 5, 14, 7, 16, 8, 50, 52, 9, 51, 53, 54]]
[[5,9,17,13,35,93],[0, 1, 10, 5, 14, 40, 7, 42, 8, 17, 9, 18, 44, 53]]
[[5,11,11,19,25,119],[0, 1, 10, 5, 14, 40, 7, 8, 17, 50, 9, 18, 44, 53]]
[[6,10,12,14,41,70],[0, 1, 10, 5, 14, 40, 7, 8, 17, 50, 9, 18, 51, 53]]
[[4,8,13,16,29,89],[0, 1, 10, 5, 14, 40, 7, 8, 17, 50, 9, 18, 51, 54]]
[[5,9,14,21,35,84],[0, 1, 10, 5, 14, 40, 7, 8, 17, 50, 9, 18, 53, 54]]
[[5,11,5,19,20,95],[0, 1, 10, 5, 14, 7, 42, 8, 17, 43, 9, 18, 44, 54]]
[[4,8,13,32,39,83],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 9, 18, 44, 54]]
[[6,12,6,24,26,102],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 18, 44, 51]]
[[5,9,8,25,40,60],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 18, 44, 53]]
[[5,11,11,15,30,107],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 18, 44, 54]]
[[5,11,14,23,35,80],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 9, 18, 51, 54]]
[[6,8,15,16,31,89],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 9, 18, 53, 54]]
[[4,10,10,30,14,70],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 18, 51, 54]]
[[6,14,9,22,31,59],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 9, 18, 51, 53]]
[[4,8,16,36,29,50],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 9, 18, 51, 54]]
[[7,11,13,11,42,77],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 9, 18, 53, 54]]
[[5,13,5,29,20,79],[0, 1, 10, 5, 14, 7, 49, 8, 17, 50, 9, 18, 51, 53]]
[[6,8,12,32,26,80],[0, 1, 10, 5, 14, 7, 49, 8, 17, 50, 9, 18, 53, 54]]
[[6,14,9,22,21,83],[0, 1, 10, 5, 14, 7, 8, 17, 50, 52, 9, 18, 51, 53]]
[[5,13,14,25,25,58],[0, 1, 10, 5, 14, 7, 8, 17, 50, 52, 9, 18, 53, 54]]
[[6,10,12,14,41,70],[0, 1, 10, 5, 14, 40, 7, 42, 49, 8, 17, 43, 9, 53]]
[[4,8,13,16,29,89],[0, 1, 10, 5, 14, 40, 7, 42, 49, 8, 17, 43, 9, 54]]
[[5,13,14,25,25,58],[0, 1, 10, 5, 14, 40, 7, 42, 8, 17, 43, 52, 9, 53]]
[[6,10,15,18,26,97],[0, 1, 10, 5, 14, 40, 7, 42, 49, 8, 17, 52, 9, 53]]
[[6,8,21,12,36,65],[0, 1, 10, 5, 14, 40, 7, 42, 8, 17, 9, 51, 53, 54]]
[[3,13,12,25,23,76],[0, 1, 10, 5, 14, 40, 7, 8, 17, 43, 50, 52, 9, 44]]
[[5,13,5,25,30,85],[0, 1, 10, 5, 14, 40, 7, 8, 17, 43, 50, 52, 9, 53]]
[[5,11,8,39,25,68],[0, 1, 10, 5, 14, 40, 7, 8, 17, 43, 50, 52, 9, 54]]
[[4,10,16,30,29,76],[0, 1, 10, 5, 14, 40, 7, 49, 8, 17, 50, 52, 9, 44]]
[[5,11,14,31,20,68],[0, 1, 10, 5, 14, 7, 42, 8, 17, 43, 9, 44, 53, 54]]
[[6,14,9,22,21,83],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 43, 52, 9, 53]]
[[6,8,12,32,26,80],[0, 1, 10, 5, 14, 7, 42, 8, 17, 43, 9, 51, 53, 54]]
[[6,8,12,24,51,56],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 9, 44, 53, 54]]
[[6,10,9,18,46,67],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 44, 51, 53]]
[[3,13,3,25,33,79],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 44, 53, 54]]
[[7,11,13,11,42,77],[0, 1, 10, 5, 14, 7, 42, 49, 8, 17, 9, 51, 53, 54]]
[[2,12,8,28,37,72],[0, 1, 10, 5, 14, 7, 42, 8, 17, 52, 9, 51, 53, 54]]
[[6,12,6,24,26,102],[0, 1, 10, 5, 14, 7, 49, 8, 17, 43, 50, 52, 9, 44]]
[[4,8,13,32,39,83],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 9, 44, 51, 54]]
[[4,10,10,30,14,70],[0, 1, 10, 5, 14, 7, 49, 8, 17, 43, 50, 52, 9, 54]]
[[6,8,15,16,31,89],[0, 1, 10, 5, 14, 7, 8, 17, 43, 50, 9, 51, 53, 54]]
[[5,11,5,19,20,95],[0, 1, 10, 5, 14, 7, 49, 8, 17, 50, 9, 44, 51, 54]]
[[4,8,7,20,19,65],[0, 1, 10, 5, 14, 7, 49, 8, 17, 50, 9, 44, 53, 54]]
[[3,11,15,23,43,59],[0, 1, 10, 5, 14, 40, 7, 42, 49, 8, 9, 18, 44, 53]]
[[3,11,12,27,28,86],[0, 1, 10, 5, 14, 40, 7, 42, 8, 50, 9, 18, 44, 53]]
[[3,11,9,23,13,95],[0, 1, 10, 5, 14, 40, 7, 42, 8, 52, 9, 18, 44, 51]]
